Wikipedia ,Wikipedia,Brand,Technology
Teen Vogue,TeenVogue,Brand,Media
The Onion,TheOnion,News,U.S.
Jeep,Jeep,Brand,Automotive
Slurpee ,slurpeenation,Product,Food/Beverage
Southwest Airlines,SouthwestAir,Brand,Airline
The Guardian,guardian,News,World
iVillage,iVillage,Brand,Technology
Coca-Cola (Coke),CocaCola,Brand,Food/Beverage
Billabong,billabong1973,Brand,Retail
L'Occitane USA,LOCCITANE,Brand,Retail
NPR,nprnews,News,U.S.
Express,ExpressLife,Brand,Retail
DIRECTV,DIRECTV,Brand,Services
Glamour ,glamourmag,Brand,Media
Walgreens,Walgreens,Brand,Retail
Toblerone,Toblerone,Product,Food/Beverage
DIESEL,planetdiesel,Brand,Retail
Fox Racing,foxracing,Brand,Sports
InStyle,InStyle,Brand,Media
"Toys""R""Us",ToysRUs,Brand,Retail
AXE ,AXE,Brand,Retail
The North Face,thenorthface,Brand,Retail
Pinterest,Pinterest,Brand,Technology
Tide,tide,Product,Retail
eBuddy,eBuddy,Product,Technology
Reebok,Reebok,Brand,Retail
Swatch Watches,SwatchUS,Brand,Retail
Chili's Grill & Bar,Chilis,Brand,Dining
Quiksilver,Quiksilver,Brand,Retail
ABC Family,ABCFamily,TV Show,ABC
Versace,Versace,Brand,Retail
vitaminwater,vitaminwater,Product,Food/Beverage
Chevrolet,chevrolet,Brand,Automotive
Dick's Sporting Goods,DICKS,Brand,Retail
Wall Street Journal,WSJ,News,Business
NHL,NHL,Sports Team,NHL
Bing,bing,Brand,Technology
The Sims 2,TheSims2,Game,Product
HP (Hewlett-Packard),hpnews,Brand,Technology
The GRAMMYs,TheGRAMMYs,Brand,Media
Honda,Honda,Brand,Automotive
Entertainment Tonight,etnow,News,Entertainment
Sears,Sears,Brand,Retail
bebe,bebe_Stores,Brand,Retail
Under Armour,UnderArmour,Brand,Retail
Hard Rock Cafe,HardRock,Brand,Dining
Swarovski,swarovski,Brand,Retail
Snapple,Snapple,Brand,Food/Beverage
Zynga,zynga,Game,Brand
Oakley,oakley,Brand,Retail
Health Magazine,goodhealth,Brand,Media
MTV UK,MTVUK,TV Show,MTV
Amazon Kindle,AmazonKindle,Product,Technology
Lenovo,lenovo,Brand,Technology
Yahoo! Movies,YahooMovies,News,Movies
Roxy,Roxy,Brand,Retail
Bleacher Report,BleacherReport,News,Sports
Dodge,Dodge,Brand,Automotive
Crocs,Crocs,Brand,Retail
Nordstrom,Nordstrom,Brand,Retail
Mashable,mashable,News,Technology
TOMS Shoes,TOMS,Brand,Retail
Carnival Cruise,CarnivalCruise,Brand,Cruise
USA TODAY,USATODAY,News,U.S.
7-Eleven,7eleven,Brand,Retail
Diablo,Diablo,Game,Product
Panda Express,PandaExpress,Brand,Dining
Entertainment Weekly,EW,News,Entertainment
Outback Steakhouse,Outback,Brand,Dining
Lowe's Home Improvement,Lowes,Brand,Retail
Sonic Drive-In,sonicdrivein,Brand,Dining
Arizona Iced Tea,DrinkAriZona,Product,Food/Beverage
Ford,Ford,Brand,Automotive
Hanes,Hanes,Brand,Retail
AirAsia,AirAsia,Brand,Airline
Royal Caribbean Intl,RoyalCaribbean,Brand,Cruise
IGN.com,IGN,News,Gaming
The Business Insider ,businessinsider,News,Business
VW (Volkswagen),VW,Brand,Automotive
TLC,TLC,TV Show,TLC
Yahoo! Sports,YahooSports,News,Sports
TAM Airlines,TAMAirlines,Brand,Airline
Stride Gum,stridegum,Product,Food/Beverage
Jimmy Choo,CatchAChoo,Brand,Retail
Papa John's Pizza,PapaJohns,Brand,Dining
Cirque du Soleil,Cirque,Brand,
ATP World Tour,ATPWorldTour,Brand,Sports
OWN (Oprah Winfrey Network),OWNTV,TV Show,OWN (Oprah Winfrey Network)
Cadillac,Cadillac,Brand,Automotive
CBS News,CBSNews,News,U.S.
Marshalls,marshalls,Brand,Retail
StarCraft,StarCraft,Game,Product
Arby's,Arbys,Brand,Dining
Old Spice,OldSpice,Product,Retail
Electrolux,Electrolux,Brand,Retail
Hooters,Hooters,Brand,Dining
MAXIM Magazine,MaximMag,News,Entertainment
Avea,Avea,Brand,Technology
Big Prize Giveaways,BigPrize,Brand,Technology
Wimbledon,Wimbledon,Brand,Sports
Bose,BoseService,Brand,Retail
Ask.com,AskDotCom,Brand,Technology
Timberland,Timberland,Brand,Retail
TJMaxx,tjmaxx,Brand,Retail
DSW Designer Shoe Warehouse,DSWShoeLovers,Brand,Retail
Juicy Couture,juicycouture,Brand,Retail
Sam's Club,SamsClub,Brand,Retail
Playfish,Playfish,Game,Product
Toyota,Toyota,Brand,Automotive
Build-A-Bear Workshop,buildabear,Brand,Retail
The New Yorker,NewYorker,Brand,Media
WWE WrestleMania,WrestleMania,Brand,Sports
Frito-Lay,Fritolay,Brand,Food/Beverage
kate spade,katespadeny,Brand,Retail
Reuters,Reuters,News,World
Wet Seal ,wetseal,Brand,Retail
Live Nation,LiveNation,Brand,Services
WWE Publishing,WWEpublishing,Product,
Sports Illustrated,SInow,News,Sports
PetSmart,PetSmart,Brand,Retail
TNT,tntdrama,TV Show,TNT
TAG Heuer,TAGHeuer,Brand,Retail
Farmer's Insurance,WeAreFarmers,Brand,Services
TripAdvisor,TripAdvisor,Brand,Travel
Vanity Fair,VanityFair,Brand,Media
Little Debbie,LittleDebbie,Product,Food/Beverage
Etsy,Etsy,Brand,Retail
Jet Airways,jetairways,Brand,Airline
BBC Radio 1,BBCR1,Brand,Media
Urban Outfitters,UrbanOutfitters,Brand,Retail
Gillette,Gillette,Brand,Retail
Breaking News,BreakingNews,News,World
Mitsubishi,MitsubishiCAN,Brand,Automotive
Butterfinger,Butterfinger,Product,Food/Beverage
AMC TV,AMC_TV,TV Show,AMC
Cold Stone Creamery,ColdStone,Brand,Food/Beverage
Logitech,Logitech,Brand,Technology
CNET,CNET,News,Technology
The Home Depot,thehomedepot,Brand,Retail
WTA Tour,WTA,Brand,Sports
Sprint,sprint,Brand,Technology
Zappos.com (Tony Hsieh),tonyhsieh,Brand,Retail
Uber,Uber,Brand,Services
Singapore Airlines,SingaporeAir,Brand,Airline
CBS Sports,CBSSports,News,Sports
Mazda,MazdaUSA,Brand,Automotive
American Airlines,AmericanAir,Brand,Airline
US Airways,USAirways,Brand,Airline
WWE Middle East & Africa,WWEmena,Product,
British Airways,BA_USA,Brand,Airline
ALDO Shoes,ALDO_Shoes,Brand,Retail
Lufthansa (USA),Lufthansa_USA,Brand,Airline
Hulu,hulu,Brand,Technology
DKNY,dkny,Brand,Retail
TechCrunch,TechCrunch,News,Technology
Fox Broadcasting,FOXTV,TV Show,FOX
NBC,nbc,TV Show,NBC
Whole Foods Market,WholeFoods,Brand,Retail
Hyundai,Hyundai,Brand,Automotive
Fandango,Fandango,News,Movies
ED HARDY,edhardy,Brand,Retail
Barnes & Noble,BNBuzz,Brand,Retail
French Open (Roland Garros),rolandgarros,Brand,Sports
Wired,WIRED,News,Technology
GQ Magazine,GQMagazine,Brand,Media
Hello Kitty Online,hkogame,Game,Product
Princess Cruises,PrincessCruises,Brand,Cruise
Armani Exchange,ArmaniExchange,Brand,Retail
Banana Republic,BananaRepublic,Brand,Retail
American Apparel,americanapparel,Brand,Retail
JBL,JBLaudio,Brand,Technology
Pottery Barn,potterybarn,Brand,Retail
Martha Stewart,MarthaStewart,Brand,Media
GMC,ThisIsGMC,Brand,Automotive
Australian Open,AustralianOpen,Brand,Sports
Dead Space,deadspace,Game,Product
Disney Store,DisneyStore,Brand,Retail
SEGA,SEGA,Game,Brand
Spike,spike,TV Show,Spike
New York Magazine,NYMag,Brand,Media
SKECHERS,SKECHERSUSA,Brand,Retail
T.G.I. Friday's,TGIFridays,Brand,Dining
Lane Bryant,lanebryant,Brand,Retail
Cristiano Ronaldo,Cristiano,Athlete,Soccer
Neymar,neymarjr,Athlete,Olympics
Dwayne Johnson (The Rock),TheRock,Athlete,WWE
John Cena,JohnCena,Athlete,WWE
Ricardo Kakà,KAKA,Athlete,Soccer
Ronaldinho Gaucho,10Ronaldinho,Athlete,Soccer
Sachin Tendulkar,sachin_rt,Athlete,Other
Andres Iniesta,andresiniesta8,Athlete,Soccer
LeBron James,KingJames,Athlete,NBA
Kobe Bryant,kobebryant,Athlete,NBA
Gerard Piqué,3gerardpique,Athlete,Soccer
Usain Bolt,usainbolt,Athlete,Olympics
Maria Sharapova,MariaSharapova,Athlete,Tennis
Rafael Nadal,RafaelNadal,Athlete,Tennis
Roger Federer,rogerfederer,Athlete,Tennis
Luis Suarez,LuisSuarez9,Athlete,Olympics
Randy Orton,RandyOrton,Athlete,WWE
Triple H,TripleH,Athlete,WWE
Dwyane Wade,DwyaneWade,Athlete,NBA
Derrick Rose,drose,Athlete,NBA
Kevin Durant,KDTrey5,Athlete,NBA
Juan Mata,juanmata8,Athlete,Olympics
Roman Reigns,WWERomanReigns,Athlete,WWE
Michael Phelps,MichaelPhelps,Athlete,Olympics
Sheamus,WWESheamus,Athlete,WWE
Shawn Michaels,ShawnMichaels,Athlete,WWE
Lukas Podolski,landondonovan,Athlete,Soccer
Stone Cold Steve Austin,steveaustinBSR,Athlete,WWE
Big Show,WWETheBigShow,Athlete,WWE
Rob Dyrdek,robdyrdek,Athlete,Other
Daniel Bryan,WWEDanielBryan,Athlete,WWE
Cesc Fàbregas,cesc4official,Athlete,Soccer
Kane,KaneWWE,Athlete,WWE
Sin Cara,TheSinCaraWWE,Athlete,WWE
Tony Hawk,tonyhawk,Athlete,Other
CM Punk,CMPunk,Athlete,
Edge,EdgeRatedR,Athlete,WWE
Rio Ferdinand,rioferdy5,Athlete,Soccer
Novak Djokovic,DjokerNole,Athlete,Tennis
Diego Forlan ,DiegoForlan7,Athlete,Soccer
Carmelo Anthony,carmeloanthony,Athlete,NBA
Shaquille O'Neal,SHAQ,Athlete,NBA
Dwight Howard,DwightHoward,Athlete,NBA
Pele,Pele,Athlete,Soccer
Brock Lesnar ,DCBROCKLESNAR,Athlete,WWE
Chris Paul,CP3,Athlete,NBA
Nikki Bella,BellaTwins,Athlete,WWE
Pau Gasol,paugasol,Athlete,NBA
Blake Griffin,blakegriffin32,Athlete,NBA
Paul Pierce,paulpierce34,Athlete,NBA
Dean Ambrose,TheDeanAmbrose,Athlete,WWE
Russell Westbrook,russwest44,Athlete,NBA
Kofi Kingston,TrueKofi,Athlete,WWE
Brie Bella,BellaTwins,Athlete,WWE
Alex De Souza,Alex10combr,Athlete,Soccer
Ryan Sheckler,RyanSheckler,Athlete,Other
Earvin Magic Johnson,MagicJohnson,Athlete,NBA
Lewis Hamilton,LewisHamilton,Athlete,Auto Racing
Andy Murray,andy_murray,Athlete,Tennis
Yu-Na Kim,Yunaaaa,Athlete,Olympics
Tiger Woods,TigerWoods,Athlete,Golf
Jey Uso,WWEUsos,Athlete,WWE
Jimmy Uso,WWEUsos,Athlete,WWE
Steve Nash,SteveNash,Athlete,NBA
Ana Ivanovic,AnaIvanovic,Athlete,Tennis
Tony Parker,tonyparker,Athlete,NBA
Serena Williams,serenawilliams,Athlete,Tennis
Lucas Rodrigues Moura da Silva,LucasnaRede_,Athlete,Olympics
Dirk Nowitzki,swish41,Athlete,NBA
Chris Jericho,IAmJericho,Athlete,WWE
Mark Henry,TheMarkHenry,Athlete,WWE
The Miz,mikethemiz,Athlete,WWE
The Great Khali,GreatKhali,Athlete,WWE
Tom Daley,TomDaley1994,Athlete,Olympics
Michael Vick,MikeVick,Athlete,NFL
Ryback,Ryback22,Athlete,WWE
Shaun White,shaunwhite,Athlete,Olympics
Natalya,NatbyNature,Athlete,WWE
R-Truth,RonKillings,Athlete,WWE
Mariana Pajon,marianapajon,Athlete,Olympics
Seth Rollins,WWERollins,Athlete,WWE
Lance Armstrong,lancearmstrong,Athlete,Other
Reggie Bush,ReggieBush,Athlete,NFL
Giorgio Chiellini,chiellini,Athlete,Soccer
Nicolas Anelka,anelkaofficiel,Athlete,Soccer
WWE Divas,WWEDivas,Athlete,WWE
Christian,Christian4Peeps,Athlete,WWE
John Morrison,TheRealMorrison,Athlete,WWE
Rob Van Dam,TherealRVD,Athlete,WWE
Drew Brees,drewbrees,Athlete,NFL
Manu Ginobili,manuginobili,Athlete,NBA
David Ortiz,davidortiz,Athlete,MLB
Venus Williams,Venuseswilliams,Athlete,Tennis
Russell Wilson,DangeRussWilson,Athlete,NFL
Hope Solo,hopesolo,Athlete,Olympics
Juan Martin del Potro,delpotrojuan,Athlete,Tennis
Santino Marella,milanmiracle,Athlete,WWE
Trish Stratus,trishstratuscom,Athlete,
Anthony Davis,AntDavis23,Athlete,NBA
Ray Lewis,raylewis,Athlete,NFL
Stephanie McMahon,StephMcMahon,Athlete,WWE
"Rodrigo ""Minotauro"" Nogueira",Minotauromma,Athlete,MMA
Cody Rhodes,StardustWWE,Athlete,WWE
Yao Ming,YaoMing,Athlete,NBA
Alex Morgan,alexmorgan13,Athlete,Olympics
Zack Ryder,ZackRyder,Athlete,WWE
Hines Ward,mvp86hinesward,Athlete,NFL
Luis Fabiano,luis_fabuloso,Athlete,Soccer
Layla,mslayel,Athlete,WWE
Dolph Ziggler,HEELZiggler,Athlete,WWE
Serge Ibaka,sergeibaka9,Athlete,NBA
Bret Hart,BretHart,Athlete,WWE
Adrian Peterson,AdrianPeterson,Athlete,NFL
Jessica Ennis,J_Ennis,Athlete,Olympics
Antonio Cesaro,WWECesaro,Athlete,WWE
Lamar Odom,RealLamarOdom,Athlete,NBA
Caroline Wozniacki,CaroWozniacki,Athlete,Tennis
Big E Langston,WWEBigE,Athlete,WWE
Victoria Azarenka,vika7,Athlete,Tennis
Kevin Love,kevinlove,Athlete,NBA
Vince McMahon,VinceMcMahon,Athlete,WWE
Jack Swagger,RealJackSwagger,Athlete,WWE
Batista,DaveBautista,Athlete,WWE
Rosa Mendes,LaRosaMendes,Athlete,WWE
Deron Williams,DeronWilliams,Athlete,NBA
Dez Bryant,DezBryant,Athlete,NFL
Gabby Douglas,gabrielledoug,Athlete,Olympics
Derek Fisher,derekfisher,Athlete,NBA
Naomi,NaomiWWE,Athlete,WWE
Booker T,BookerT5x,Athlete,WWE
Yohan Blake,YohanBlake,Athlete,Olympics
Jeff Gordon,JeffGordonWeb,Athlete,Auto Racing
Lindsey Vonn,lindseyvonn,Athlete,Olympics
Landon Donovan,landondonovan,Athlete,Soccer
Jimmie Johnson,JimmieJohnson,Athlete,Auto Racing
Justin Gabriel,Justin__Gabriel,Athlete,WWE
Robert Griffin III,RGIII,Athlete,NFL
Goldust,Goldust,Athlete,WWE
Terrell Owens,terrellowens,Athlete,NFL
Rob Gronkowski,RobGronkowski,Athlete,NFL
Larry Fitzgerald,LarryFitzgerald,Athlete,NFL
Colin Kaepernick,Kaepernick7,Athlete,NFL
Eve Torres,EveTorresGracie,Athlete,WWE
Rory McIlroy,McIlroyRory,Athlete,Golf
Wade Barrett,WadeBarrett,Athlete,WWE
Jerry Lawler,JerryLawler,Athlete,WWE
Tom Cleverley,tomclevz23,Athlete,Olympics
Alicia Fox,AliciaFoxy,Athlete,WWE
Andre Iguodala,andre,Athlete,NBA
Agnieszka Radwanska,ARadwanska,Athlete,Olympics
Nico Rosberg,nico_rosberg,Athlete,Auto Racing
Mo Farah,Mo_Farah,Athlete,Olympics
Tyson Chandler,tysonchandler,Athlete,NBA
Cesar Cielo,CesarCielo,Athlete,Olympics
Jo-Wilfried Tsonga,tsonga7,Athlete,Olympics
Brodus Clay,BrodusClay,Athlete,WWE
Michael Cole,MichaelCole,Athlete,WWE
Vernon Davis,VernonDavis85,Athlete,NFL
Ray Rice,RayRice27,Athlete,NFL
Hornswoggle,wwehornswoggle,Athlete,WWE
Misty May-Treanor,MistyMayTreanor,Athlete,Olympics
Michelle McCool,McCoolMichelleL,Athlete,WWE
Luol Deng,LuolDeng9,Athlete,NBA
Iker Muniain,IkerMuniain19,Athlete,Olympics
Eva Marie,natalieevamarie,Athlete,WWE
Nikola Karabatic,NKARABATIC,Athlete,Olympics
Darren Young,DarrenYoungWWE,Athlete,WWE
Sabine Lisicki,sabinelisicki,Athlete,Tennis
Mark Webber,AussieGrit,Athlete,Auto Racing
Stanislas Wawrinka,stanwawrinka,Athlete,Tennis
Kei Nishikori,keinishikori,Athlete,Tennis
Drew McIntyre,GallowaySpeaks,Athlete,WWE
Ryan Lochte,RyanLochte,Athlete,Olympics
Samantha Cabiles,Samicabilesph,Athlete,
Patrick Willis,PatrickWillis52,Athlete,NFL
Dominika Cibulkova,Cibulkova,Athlete,Olympics
Petra Kvitova,Petra_Kvitova,Athlete,Tennis
Damien Sandow,TheDamienSandow,Athlete,WWE
Maryse Ouellet,maryse0uellet,Athlete,
Terrell Suggs,untouchablejay4,Athlete,NFL
Sheilla Castro,sheillacastro,Athlete,Olympics
Asafa Powell,officialasafa,Athlete,Olympics
Titus O'Neil,TitusONeilWWE,Athlete,WWE
Fandango,WWEFandango,Athlete,WWE
Tamina,TaminaSnuka,Athlete,WWE
Mark Cavendish,MarkCavendish,Athlete,Olympics
Harrison Barnes,hbarnes,Athlete,NBA
Baron Davis,Baron_Davis,Athlete,NBA
Devin Hester,D_Hest23,Athlete,NFL
Barry Sanders,BarrySanders,Athlete,NFL
Andy Roddick,andyroddick,Athlete,Tennis
Heath Slater,HeathSlaterOMRB,Athlete,WWE
Wes Welker,WesWelker,Athlete,NFL
Anquan Boldin,AnquanBoldin,Athlete,NFL
Marc Gasol,MarcGasol,Athlete,NBA
JTG,Jtg1284,Athlete,WWE
William Regal,RealKingRegal,Athlete,WWE
Tyson Kidd,KiddWWE,Athlete,WWE
Abby Wambach,AbbyWambach,Athlete,Olympics
Candace Parker,Candace_Parker,Athlete,Olympics
Curtis Axel,RealCurtisAxel,Athlete,WWE
Yoshi Tatsu,YoshiTatsuIsm,Athlete,WWE
Cameron,WWECameron,Athlete,WWE
Jordyn Wieber,jordyn_wieber,Athlete,Olympics
Daniela Hantuchova,dhantuchova,Athlete,Tennis
David Otunga,DavidOtunga,Athlete,WWE
Lolo Jones,lolojones,Athlete,Olympics
Jelena Jankovic,jelena_jankovic,Athlete,Tennis
Aksana,ZivileFit,Athlete,WWE
Evan Bourne,findevan,Athlete,WWE
Kasey Kahne,kaseykahne,Athlete,Auto Racing
Bruno Rezende,brunorezende1,Athlete,Olympics
Joe Flacco,TeamFlacco,Athlete,NFL
Tyson Gay,TysonLGay,Athlete,Olympics
Angelique Kerber,AngeliqueKerber,Athlete,Olympics
Bubba Watson,bubbawatson,Athlete,Golf
Allyson Felix,allysonfelix,Athlete,Olympics
Bo Dallas,TheBoDallas,Athlete,WWE
Jimmy Rollins,JimmyRollins11,Athlete,MLB
Arian Foster,ArianFoster,Athlete,NFL
Laura Robson,laurarobson5,Athlete,Tennis
Torrey Smith,TorreySmithWR,Athlete,NFL
Marcel Nguyen,themarcelnguyen,Athlete,Olympics
Laure Boulleau,laureboulleau,Athlete,Olympics
Kyle Busch,KyleBusch,Athlete,Auto Racing
Howard Finkel,howardfinkel,Athlete,WWE
Mason Ryan,MasonTheManiac,Athlete,WWE
Mark Sanchez,Mark_Sanchez,Athlete,NFL
Paige,RealPaigeWWE,Athlete,WWE
CC Sabathia,CC_Sabathia,Athlete,MLB
Apolo Anton Ohno,ApoloOhno,Athlete,Olympics
Nick Swisher,NickSwisher,Athlete,MLB
Justin Albert,WWEJasonAlbert,Athlete,WWE
McKayla Maroney,McKaylaMaroney,Athlete,Olympics
Jack Laugher,JackLaugher,Athlete,Olympics
