624731797994258432,1,0,0,0,0,0,0,0,0,0,0,0
624369513409171456,1,0,0,0,0,0,0,0,0,0,0,0
624008022378024960,1,0,0,0,0,0,0,0,0,0,0,0
626181479584931840,1,0,0,0,0,0,0,0,0,0,0,0
625819971847868416,1,0,0,0,0,0,0,0,0,0,0,0
629443569611341824,1,0,0,0,0,1,0,0,0,0,0,0
627269517408894976,1,0,0,0,0,1,0,0,0,0,0,0
626544219088363520,1,0,0,0,0,0,0,0,0,0,0,0
623645148019314688,1,0,0,0,0,1,0,0,0,0,0,0
624254765137010688,1,0,6,11,21,28,35,30,29,25,19,22
624282972762599425,1,0,6,9,10,19,21,16,25,19,21,15
624406765707268097,1,1,3,14,5,13,16,10,15,13,15,7
624293520640229376,1,1,1,15,10,11,13,20,18,18,16,19
627272532975046656,1,3,5,5,16,9,10,23,9,12,14,13
623172806826688512,1,2,14,13,18,13,26,15,10,10,12,16
628934694374109184,1,2,1,5,4,5,7,11,4,6,10,6
629026744612323328,1,2,10,13,14,22,17,14,13,11,14,17
627909479707881472,2,5,5,9,16,16,13,16,12,4,9,8
624219136428769280,1,1,9,8,9,14,10,12,6,10,12,11
623137065341952000,1,1,7,22,52,43,52,38,45,31,27,33
629064761188184064,1,3,2,9,16,13,21,12,11,24,15,14
623139808110616576,1,1,4,3,8,8,7,5,4,2,7,4
623183065062313984,2,1,3,0,1,2,2,2,3,1,2,2
627974662400679936,2,0,6,4,3,5,6,5,2,6,7,3
624288655809642499,1,0,2,3,6,3,2,4,5,5,6,3
624249149832208384,3,4,3,8,6,6,1,8,5,1,2,4
