623516104451850240,1,6,2,3,1,1,2,0,1,0,1,0,1,1,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
622802311929180160,7,8,5,7,5,8,5,7,11,11,9,6,12,3,13,17,12,18,16,12,6,14,13,7,7,11,4,6,10,9,12,10,8,5,8,15,7,7,11,5,5,10,4,9,5,5,5,6,10,3,8,4,12,7,5,4,4,7,2,4,5,2,4,4,5,3,6,11,1,3,5,3,7,3,8,3,4,3,8,2,4,8,6,3,7,2,5,1,6,6,5,2,1,2,1,3,5,4,5,3,2,4,2,3,7,4,3,5,4,0,5
622555429957206021,30,411,350,181,140,77,58,62,46,39,39,38,33,28,30,26,24,26,15,25,21,11,22,15,16,23,8,15,14,14,9,14,11,21,16,10,8,8,14,12,11,9,9,8,13,11,8,6,5,10,10,14,7,5,3,8,6,6,6,4,8,8,5,7,9,2,5,8,11,4,5,2,5,8,5,3,6,6,3,4,3,7,2,3,5,5,2,2,2,2,2,2,2,8,6,2,3,2,7,7,2,5,2,2,2,1,2,0,4,9,6
622251264089440256,3,95,349,413,317,192,154,133,108,90,70,74,58,64,41,62,50,38,40,42,65,44,35,34,23,21,29,40,27,26,28,19,27,21,23,26,36,23,31,24,21,22,27,17,16,16,15,25,17,13,18,24,16,19,11,16,15,11,8,4,15,12,12,13,12,13,11,11,6,6,14,8,14,10,10,10,5,7,14,11,14,14,12,14,9,14,7,9,11,9,10,8,5,10,6,9,9,8,5,11,7,13,6,7,5,6,7,4,9,4,8
625986470772391936,1,1,0,0,3,2,4,3,0,3,2,0,2,1,2,0,1,2,1,2,2,0,2,1,2,1,1,0,0,4,1,1,2,0,0,1,1,4,2,0,2,2,0,4,1,0,1,2,1,0,1,1,3,1,1,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,3,4,0,0,1,1,3,0,2,0,1,2,0,1
625805937832525824,25,1,0,0,0,25,0,0,0,1,0,0,2,0,0,0,0,36,0,0,1,0,0,0,0,0,17,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623955375952384000,3,3,4,3,4,4,4,3,5,3,5,10,5,8,4,9,8,7,3,5,2,2,3,4,2,4,2,4,4,2,2,3,3,2,4,3,1,3,1,3,4,4,4,1,5,1,4,4,1,1,2,6,3,3,3,4,1,1,1,2,0,2,2,6,2,2,1,1,3,1,2,0,1,1,1,3,2,5,1,0,2,0,4,1,2,4,1,1,1,4,0,3,1,5,2,1,1,1,1,0,1,0,1,1,2,4,3,0,1,1,2
629071475446784000,9,209,97,52,35,13,23,10,8,5,5,8,3,5,3,4,4,1,4,4,4,5,1,5,3,2,2,6,2,0,1,3,1,2,3,1,3,1,1,1,1,2,0,0,2,2,1,3,0,0,4,2,2,3,1,2,1,3,0,3,0,0,1,1,1,1,0,0,2,0,1,0,0,3,0,0,1,1,1,1,2,3,1,0,0,0,0,2,0,1,0,0,0,0,3,0,0,2,2,1,0,2,0,1,0,1,0,1,0,1,0
623893514791862272,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
624610343344410626,1,1,2,0,1,1,0,1,1,0,2,0,4,1,0,1,1,0,0,2,1,1,1,1,0,1,1,1,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623997586484129792,1,10,82,70,53,34,22,17,20,11,13,14,8,6,7,11,4,9,10,7,7,4,3,3,3,5,7,5,2,2,1,2,4,1,5,8,2,9,4,1,4,4,2,2,1,3,2,0,3,2,4,5,3,2,4,1,5,1,3,2,3,0,0,2,1,1,3,3,0,0,3,1,4,4,3,1,2,2,4,0,1,0,3,0,1,3,0,2,2,2,2,1,2,0,1,1,1,1,1,3,1,3,0,1,1,0,0,3,0,1,0
