613126094502383616,1,3,1,8,6,13,7,7,5,8,5,5,8,8,6,5,11,6,9,6,4,9,6,6,6,4,2,3,5,9,5,2,6,7,2,7,3,0,8,4,5,3,3,7,7,1,4,5,4,4,2,6
613078560258027520,1,3,7,9,5,8,4,7,11,7,11,7,11,9,8,7,15,6,8,5,12,10,3,6,6,5,4,4,7,3,3,8,3,4,6,4,4,0,7,3,4,5,4,2,4,3,4,6,9,2,2,5
613051857972412417,1,3,5,6,6,12,2,12,10,7,12,15,9,9,5,12,6,11,7,6,7,10,4,9,2,9,5,5,4,8,10,7,7,8,6,4,5,5,6,3,5,8,3,6,2,2,5,5,5,5,5,2
613405785415122944,1,1,0,0,1,0,0,0,2,1,1,4,3,0,2,0,3,4,0,1,2,0,1,3,2,1,1,3,1,3,1,0,1,2,1,1,1,1,2,1,2,1,0,3,3,3,1,6,4,9,6,3
613713695844270081,2,10,11,12,16,21,15,11,9,7,11,12,10,11,8,11,7,5,8,6,4,7,3,7,1,8,5,9,2,5,7,3,5,3,5,2,4,2,6,7,5,6,4,4,2,2,5,1,5,3,4,0
613919968552480768,5,18,24,24,25,14,14,23,15,17,13,14,15,24,20,20,13,13,13,21,12,15,17,15,12,8,14,12,17,15,11,15,13,9,7,16,7,14,16,10,5,10,12,13,6,11,9,4,11,7,6,12
613917198466293761,4,9,24,27,37,29,47,36,34,31,34,38,25,20,30,24,31,18,16,14,29,23,22,20,20,15,15,17,17,16,10,18,20,12,15,9,14,12,16,14,15,17,15,10,11,9,8,7,6,11,9,19
614218456523767808,7,44,73,76,58,68,70,66,57,61,55,37,41,41,38,36,33,26,25,27,28,27,28,15,24,33,20,19,24,25,20,18,22,17,19,13,21,18,18,17,9,13,18,9,14,12,10,13,5,16,9,10
614062769260728320,3,3,2,3,5,3,3,5,3,4,4,5,2,6,4,4,8,7,5,8,4,6,8,4,9,4,6,5,7,8,6,6,4,6,3,7,6,3,3,4,1,4,5,8,5,5,2,2,2,6,3,5
614252976224477184,1,40,93,79,64,56,51,40,37,30,40,28,26,24,23,26,29,27,30,23,26,25,26,24,17,21,13,16,12,17,18,18,14,22,14,16,12,15,9,15,12,10,10,14,10,13,11,10,5,4,4,17
614458772648407041,27,57,53,120,122,190,154,151,189,202,184,134,159,164,163,140,195,181,170,201,188,178,151,162,177,108,144,143,144,154,127,169,157,71,48,33,14,15,5,5,6,0,0,0,0,0,0,1,0,0,3,3
614551217402830848,2,2,1,1,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,91,157,176,157,115,101,98,67,60,56,37,43,32,31,41
