date,rule_id,handle,1,2,3,4,5,6,7,8,9,
2015-09-23T18:26:24-04:00,35,postseason,0,0,0,0,1,0,0,673,182,
2015-09-23T18:26:24-04:00,35,postseason,0,0,0,0,0,0,0,673,182,
2015-09-23T18:26:24-04:00,35,postseason,0,0,0,1,0,0,673,224,78,
2015-09-23T18:26:24-04:00,35,postseason,0,0,0,0,0,0,673,224,48,
2015-09-23T18:26:24-04:00,35,postseason,0,0,0,0,1,0,0,577,98,
2015-09-23T18:41:24-04:00,35,postseason,1,6,0,0,0,1,0,0,557,
2015-09-23T18:41:24-04:00,35,postseason,1,6,0,0,0,0,0,0,557,
2015-09-23T18:41:24-04:00,35,postseason,0,0,1,0,0,673,224,105,35,
2015-09-23T18:41:24-04:00,35,postseason,0,0,0,0,0,673,224,75,35,
2015-09-23T18:41:24-04:00,35,postseason,0,0,0,1,0,0,577,124,44,
2015-09-23T18:56:24-04:00,35,postseason,0,0,0,0,0,1,0,0,472,
2015-09-23T18:56:24-04:00,35,postseason,0,0,1,0,0,577,124,54,12,
2015-09-23T18:56:24-04:00,35,postseason,0,1,0,0,673,224,105,39,23,
2015-09-23T18:56:24-04:00,35,postseason,0,0,0,0,673,224,75,39,23,
2015-09-23T18:56:24-04:00,35,ownoctober,0,0,0,0,0,0,0,265,40,
2015-09-23T19:11:24-04:00,35,ownoctober,0,0,0,0,0,0,0,265,40,
2015-09-23T19:11:24-04:00,35,ownoctober,0,0,0,0,0,0,0,265,40,
2015-09-23T19:11:24-04:00,35,ownoctober,0,0,0,0,0,265,51,25,80,
2015-09-23T19:11:24-04:00,35,ownoctober,0,0,0,0,0,265,51,25,77,
2015-09-23T19:11:24-04:00,35,ownoctober,0,0,0,0,0,265,51,16,77,
2015-09-23T19:26:24-04:00,35,postseason,0,1,0,0,577,124,54,13,10,
2015-09-23T19:26:24-04:00,35,ownoctober,0,0,0,0,0,0,0,0,226,
2015-09-23T19:26:24-04:00,35,ownoctober,0,0,0,0,0,0,0,0,226,
2015-09-23T19:26:24-04:00,35,ownoctober,0,0,0,0,0,0,0,0,226,
2015-09-23T19:26:24-04:00,35,ownoctober,0,0,0,0,0,0,265,51,19,
2015-09-23T19:41:24-04:00,35,ownoctober,0,0,0,0,0,0,265,51,19,
2015-09-23T19:41:24-04:00,35,ownoctober,0,0,0,0,0,0,265,51,10,
2015-09-23T19:41:24-04:00,35,ownoctober,0,0,0,0,265,51,25,89,29,
2015-09-23T19:41:24-04:00,35,ownoctober,0,0,0,0,265,51,25,86,29,
2015-09-23T19:41:24-04:00,35,ownoctober,0,0,0,0,265,51,16,86,29,
2015-09-23T19:56:24-04:00,35,hometownhomer,0,0,0,0,0,0,0,171,47,
2015-09-23T19:56:24-04:00,35,hometownhomer,0,0,0,0,0,0,0,167,45,
2015-09-23T19:56:24-04:00,35,hometownhomer,0,0,0,0,0,0,0,167,45,
2015-09-23T19:56:24-04:00,35,hometownhomer,0,0,0,0,0,0,0,167,44,
2015-09-23T19:56:24-04:00,35,postseason,0,0,0,673,224,105,39,27,14,
2015-09-23T20:11:24-04:00,35,hometownhomer,0,0,0,0,0,0,171,53,10,
2015-09-23T20:11:24-04:00,35,postseason,0,0,0,673,224,75,39,27,14,
2015-09-23T20:11:24-04:00,35,hometownhomer,0,0,0,0,0,0,167,51,10,
2015-09-23T20:11:24-04:00,35,hometownhomer,0,0,0,0,0,0,167,51,10,
2015-09-23T20:11:24-04:00,35,ripyogiberra,0,0,0,0,0,0,91,86,28,
2015-09-23T20:26:24-04:00,35,ripyogiberra,0,0,0,0,0,0,91,86,28,
2015-09-23T20:26:24-04:00,35,ripyogiberra,0,0,0,0,0,0,91,86,28,
2015-09-23T20:26:24-04:00,35,hometownhomer,0,0,0,0,0,0,167,50,10,
2015-09-23T20:26:24-04:00,35,ripyogiberra,0,0,0,0,0,0,0,91,71,
2015-09-23T20:26:24-04:00,35,ripyogiberra,0,0,0,0,0,0,0,91,71,
2015-09-23T20:41:24-04:00,35,ripyogiberra,0,0,0,0,0,0,0,91,71,
2015-09-23T20:41:24-04:00,35,hometownhomer,0,0,0,0,0,171,53,11,27,
2015-09-23T20:41:24-04:00,35,hometownhomer,0,0,0,0,0,167,51,11,27,
2015-09-23T20:41:24-04:00,35,hometownhomer,0,0,0,0,0,167,51,11,27,
2015-09-23T20:41:24-04:00,35,hometownhomer,0,0,0,0,0,167,50,11,27,
2015-09-23T20:56:24-04:00,35,ripyogiberra,0,0,0,0,0,91,86,32,14,
2015-09-23T20:56:24-04:00,35,ripyogiberra,0,0,0,0,0,91,86,32,14,
2015-09-23T20:56:24-04:00,35,ripyogiberra,0,0,0,0,0,91,86,32,14,
2015-09-23T20:56:24-04:00,35,hometownhomer,0,0,0,0,0,0,0,125,24,
2015-09-23T20:56:24-04:00,35,ownoctober,0,0,0,265,51,25,89,36,12,
2015-09-23T21:11:24-04:00,35,hometownhomer,0,0,0,0,0,0,0,0,121,
2015-09-23T21:11:24-04:00,35,ownoctober,0,0,0,265,51,25,86,36,12,
2015-09-23T21:11:24-04:00,35,hometownhomer,0,0,0,0,0,0,0,0,118,
2015-09-23T21:11:24-04:00,35,hometownhomer,0,0,0,0,0,0,0,0,118,
2015-09-23T21:11:24-04:00,35,hometownhomer,0,0,0,0,0,0,0,0,118,
2015-09-23T21:26:24-04:00,35,ownoctober,0,0,0,265,51,16,86,36,12,
2015-09-23T21:26:24-04:00,35,postseason,0,0,0,0,0,0,80,50,19,
2015-09-23T21:26:24-04:00,35,hometownhomer,0,0,0,0,0,0,125,28,6,
2015-09-23T21:26:24-04:00,35,hometownhomer,0,0,0,0,0,0,0,0,101,
2015-09-23T21:26:24-04:00,35,ripyogiberra,0,0,0,0,91,86,32,17,11,
2015-09-23T21:41:24-04:00,35,ripyogiberra,0,0,0,0,91,86,32,17,11,
2015-09-23T21:41:24-04:00,35,ripyogiberra,0,0,0,0,91,86,32,17,11,
2015-09-23T21:41:24-04:00,35,nbafinals,0,0,0,0,0,0,0,38,68,
2015-09-23T21:41:24-04:00,35,postseason,0,0,0,0,0,0,0,80,33,
2015-09-23T21:41:24-04:00,35,hometownhomer,0,0,0,0,171,53,11,33,4,
2015-09-23T21:56:24-04:00,35,hometownhomer,0,0,0,0,167,51,11,33,4,
2015-09-23T21:56:24-04:00,35,hometownhomer,0,0,0,0,167,51,11,33,4,
2015-09-23T21:56:24-04:00,35,hometownhomer,0,0,0,0,167,50,11,33,4,
2015-09-23T21:56:24-04:00,35,postseason,0,0,0,0,0,80,50,22,8,
2015-09-23T21:56:24-04:00,35,postseason,0,0,0,577,124,54,13,12,8,
2015-09-23T22:11:24-04:00,35,serpico,0,0,0,0,0,0,0,0,82,
2015-09-23T22:11:24-04:00,35,pebble,1,4,0,0,5,0,0,72,25,
2015-09-23T22:11:24-04:00,35,othertech,0,0,0,0,0,0,0,68,25,
2015-09-23T22:11:24-04:00,35,serpico,0,0,0,0,0,0,0,0,79,
2015-09-23T22:11:24-04:00,35,hometownhomer,0,0,0,0,0,125,28,7,4,
2015-09-23T22:26:24-04:00,35,nbafinals,0,0,0,0,0,0,38,68,0,
2015-09-23T22:26:24-04:00,35,ownoctober,0,0,265,51,25,89,36,20,37,
2015-09-23T22:26:24-04:00,35,ownoctober,0,0,265,51,25,86,36,20,38,
2015-09-23T22:26:24-04:00,35,ownoctober,0,0,265,51,16,86,36,20,38,
2015-09-23T22:26:24-04:00,35,serpico,0,0,0,0,0,0,0,82,3,
2015-09-23T22:41:24-04:00,35,pebble,0,0,0,5,0,0,72,25,3,
2015-09-23T22:41:24-04:00,35,serpico,0,0,0,0,0,0,0,79,3,
2015-09-23T22:41:24-04:00,35,postseason,0,0,0,0,0,0,0,0,66,
2015-09-23T22:41:24-04:00,35,othertech,0,0,0,0,0,0,68,25,1,
2015-09-23T22:41:24-04:00,35,postseason,0,0,0,0,80,50,22,9,3,
2015-09-23T22:56:24-04:00,35,postseason,2,9,8,8,6,8,4,42,24,
2015-09-23T22:56:24-04:00,35,postseason,2,9,8,8,6,8,4,42,24,
2015-09-23T22:56:24-04:00,35,postseason,1,5,6,8,4,6,4,43,22,
2015-09-23T22:56:24-04:00,35,lebronjames,0,0,0,0,0,0,0,0,58,
2015-09-23T22:56:24-04:00,35,nbafinals,0,0,0,0,0,0,0,0,58,
2015-09-23T23:11:24-04:00,35,nbafinals,0,0,0,0,0,38,68,0,0,
2015-09-23T23:11:24-04:00,35,postseason,2,8,8,6,8,4,42,29,10,
2015-09-23T23:11:24-04:00,35,postseason,2,8,8,6,8,4,42,29,10,
2015-09-23T23:11:24-04:00,35,ripyogiberra,0,0,0,91,86,32,17,13,2,
2015-09-23T23:11:24-04:00,35,ripyogiberra,0,0,0,91,86,32,17,13,2,
2015-09-23T23:26:24-04:00,35,ripyogiberra,0,0,0,91,86,32,17,13,2,
2015-09-23T23:26:24-04:00,35,postseason,0,6,8,4,6,4,43,25,10,
2015-09-23T23:26:24-04:00,35,postseason,0,0,0,0,3,0,30,22,19,
2015-09-23T23:26:24-04:00,35,serpico,0,0,0,0,0,0,82,3,3,
2015-09-23T23:26:24-04:00,35,serpico,0,0,0,0,0,0,79,3,3,
2015-09-23T23:41:24-04:00,35,howsweetitis,0,0,0,0,0,0,0,53,8,
2015-09-23T23:41:24-04:00,35,howsweetitis,0,0,0,0,0,0,0,53,8,
2015-09-23T23:41:24-04:00,35,postseason,3,8,6,8,4,42,29,15,8,
2015-09-23T23:41:24-04:00,35,postseason,3,8,6,8,4,42,29,15,8,
2015-09-23T23:41:24-04:00,35,postseason,0,10,6,5,8,20,24,21,13,
2015-09-23T23:56:24-04:00,35,postseason,0,10,6,5,8,20,24,21,13,
2015-09-23T23:56:24-04:00,35,readytorake,0,0,0,0,0,0,0,33,23,
2015-09-23T23:56:24-04:00,35,lebronjames,0,0,0,0,0,0,0,59,2,
2015-09-23T23:56:24-04:00,35,nbafinals,0,0,0,0,0,0,0,59,2,
2015-09-23T23:56:24-04:00,35,postseason,0,6,5,8,20,24,21,18,10,
2015-09-24T00:11:24-04:00,35,postseason,0,6,5,8,20,24,21,18,10,
2015-09-24T00:11:24-04:00,35,pebble,0,0,5,0,0,72,25,3,2,
2015-09-24T00:11:24-04:00,35,pebble,0,0,1,1,0,0,0,3,46,
2015-09-24T00:11:24-04:00,35,buccobirthdays,0,0,0,0,0,0,40,17,10,
2015-09-24T00:11:24-04:00,35,buccobirthdays,0,0,0,0,0,0,40,17,10,
2015-09-24T00:26:24-04:00,35,buccobirthdays,0,0,0,0,0,0,40,17,10,
2015-09-24T00:26:24-04:00,35,hometownhomer,0,0,0,0,125,28,7,5,1,
2015-09-24T00:26:24-04:00,35,postseason,0,0,0,3,0,30,22,20,6,
2015-09-24T00:26:24-04:00,35,cavsnation,0,0,0,0,0,47,0,35,0,
2015-09-24T00:26:24-04:00,35,postseason,1,4,10,6,5,8,20,24,15,
2015-09-24T00:41:24-04:00,35,postseason,1,4,10,6,5,8,20,24,15,
2015-09-24T00:41:24-04:00,35,postseason,0,1,0,0,2,2,0,35,18,
2015-09-24T00:41:24-04:00,35,readytorake,0,0,0,0,0,0,0,32,21,
2015-09-24T00:41:24-04:00,35,readytorake,0,0,0,0,0,0,0,32,21,
2015-09-24T00:41:24-04:00,35,readytorake,0,0,0,0,0,0,0,32,21,
2015-09-24T00:56:24-04:00,35,readytorake,0,0,0,0,0,0,33,28,4,
