i1,i2,i3,i4,i5,i6,i7,i8,i9
0,0,0,0,0,0,11,5,1
0,0,0,0,0,0,11,7,4
0,0,0,0,0,0,12,0,0
0,0,0,0,0,0,12,0,1
0,0,0,0,0,0,12,1,0
0,0,0,0,0,0,12,6,1
0,0,0,0,0,0,125,28,6
0,0,0,0,0,0,13,0,0
0,0,0,0,0,0,13,2,1
0,0,0,0,0,0,13,3,0
0,0,0,0,0,0,13,4,1
0,0,0,0,0,0,14,0,1
0,0,0,0,0,0,14,5,1
0,0,0,0,0,0,14,6,1
0,0,0,0,0,0,14,8,2
0,0,0,0,0,0,16,6,6
0,0,0,0,0,0,167,50,10
0,0,0,0,0,0,167,51,10
0,0,0,0,0,0,17,7,6
0,0,0,0,0,0,171,53,10
0,0,0,0,0,0,18,0,0
0,0,0,0,0,0,19,1,0
0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,2,0,6
0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,2,1,1
0,0,0,0,0,0,2,1,2
0,0,0,0,0,0,2,10,0
0,0,0,0,0,0,2,11,6
0,0,0,0,0,0,2,2,0
0,0,0,0,0,0,2,2,1
0,0,0,0,0,0,2,2,2
0,0,0,0,0,0,2,3,0
0,0,0,0,0,0,2,3,1
0,0,0,0,0,0,2,4,0
0,0,0,0,0,0,2,6,0
0,0,0,0,0,0,2,8,7
0,0,0,0,0,0,20,0,4
0,0,0,0,0,0,20,1,1
0,0,0,0,0,0,22,1,1
0,0,0,0,0,0,23,0,0
0,0,0,0,0,0,26,0,0
0,0,0,0,0,0,265,51,10
0,0,0,0,0,0,265,51,19
0,0,0,0,0,0,27,0,0
0,0,0,0,0,0,28,20,5
0,0,0,0,0,0,28,8,3
0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,3,0,1
0,0,0,0,0,0,3,0,16
0,0,0,0,0,0,3,0,2
0,0,0,0,0,0,3,1,0
0,0,0,0,0,0,3,1,1
0,0,0,0,0,0,3,1,2
0,0,0,0,0,0,3,2,0
0,0,0,0,0,0,3,2,1
0,0,0,0,0,0,3,2,2
0,0,0,0,0,0,3,3,0
0,0,0,0,0,0,3,4,1
0,0,0,0,0,0,3,5,2
0,0,0,0,0,0,3,7,3
0,0,0,0,0,0,31,7,5
0,0,0,0,0,0,32,26,4
0,0,0,0,0,0,33,0,0
0,0,0,0,0,0,33,19,5
0,0,0,0,0,0,33,28,4
0,0,0,0,0,0,35,0,0
0,0,0,0,0,0,35,4,0
0,0,0,0,0,0,36,1,0
0,0,0,0,0,0,36,6,0
0,0,0,0,0,0,38,68,0
0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,4,1,0
0,0,0,0,0,0,4,1,1
0,0,0,0,0,0,4,12,2
0,0,0,0,0,0,4,2,0
0,0,0,0,0,0,4,3,0
0,0,0,0,0,0,4,3,1
0,0,0,0,0,0,4,3,2
0,0,0,0,0,0,4,4,0
0,0,0,0,0,0,4,7,7
0,0,0,0,0,0,40,17,10
0,0,0,0,0,0,41,0,0
0,0,0,0,0,0,44,2,0
0,0,0,0,0,0,46,0,0
0,0,0,0,0,0,47,0,0
0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,5,0,1
0,0,0,0,0,0,5,1,0
0,0,0,0,0,0,5,1,2
0,0,0,0,0,0,5,2,1
0,0,0,0,0,0,5,3,0
0,0,0,0,0,0,5,5,1
0,0,0,0,0,0,5,6,1
0,0,0,0,0,0,53,8,3
0,0,0,0,0,0,53,8,4
0,0,0,0,0,0,59,2,1
0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,6,0,1
0,0,0,0,0,0,6,0,2
0,0,0,0,0,0,6,1,0
0,0,0,0,0,0,6,13,4
0,0,0,0,0,0,6,2,5
0,0,0,0,0,0,6,29,12
0,0,0,0,0,0,6,3,0
0,0,0,0,0,0,6,3,1
0,0,0,0,0,0,6,5,1
0,0,0,0,0,0,673,224,48
0,0,0,0,0,0,68,25,1
0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,7,0,1
0,0,0,0,0,0,7,1,0
0,0,0,0,0,0,7,1,1
0,0,0,0,0,0,7,2,0
0,0,0,0,0,0,7,20,6
0,0,0,0,0,0,7,3,0
0,0,0,0,0,0,7,3,2
0,0,0,0,0,0,79,3,3
0,0,0,0,0,0,8,0,0
0,0,0,0,0,0,8,0,1
0,0,0,0,0,0,8,1,1
0,0,0,0,0,0,8,1,2
0,0,0,0,0,0,8,2,1
0,0,0,0,0,0,8,2,2
